filename,total_rows,read_time_ms,throughput_mrows_per_sec,i
core,1000000,316,3.16456,1
bi,1000000,234,4.2735,1
classic,1000000,618,1.61812,1
geo,1000000,412,2.42718,1
log,1000000,233,4.29185,1
ml,1000000,518,1.9305,1
lineitem_duckdb_double,59986052,19754,3.03665,1
core,1000000,314,3.18471,2
bi,1000000,234,4.2735,2
classic,1000000,618,1.61812,2
geo,1000000,413,2.42131,2
log,1000000,233,4.29185,2
ml,1000000,518,1.9305,2
lineitem_duckdb_double,59986052,19795,3.03036,2
core,1000000,313,3.19489,3
bi,1000000,234,4.2735,3
classic,1000000,616,1.62338,3
geo,1000000,413,2.42131,3
log,1000000,233,4.29185,3
ml,1000000,516,1.93798,3
lineitem_duckdb_double,59986052,19714,3.04281,3
core,1000000,317,3.15457,4
bi,1000000,234,4.2735,4
classic,1000000,619,1.61551,4
geo,1000000,413,2.42131,4
log,1000000,234,4.2735,4
ml,1000000,517,1.93424,4
lineitem_duckdb_double,59986052,19744,3.03819,4
core,1000000,319,3.1348,5
bi,1000000,234,4.2735,5
classic,1000000,622,1.60772,5
geo,1000000,414,2.41546,5
log,1000000,233,4.29185,5
ml,1000000,519,1.92678,5
lineitem_duckdb_double,59986052,19820,3.02654,5
