data_size,scheme,profile,unencoded_size,encoded_size,native_time(ns),wasm_time(ns)
2048,pco,release,8192,91,15109,21491
2048,lz4,release,56774,26120,23922,29894
2048,flsbp,release,8192,1804,339,1074
2048,fffint,release,8192,2880,4637,8056
2048,ffffloat,release,8192,7552,11091,19181
2048,fffstr,release,8192,28288,39590,86197
2048,gzip,release,56774,13859,136301,284745
2048,zstd,release,56774,15657,52953,124159
2048,pco,opt-size,8192,91,15365,30754
2048,lz4,opt-size,56774,26120,23836,33000
2048,flsbp,opt-size,8192,1804,345,1764
2048,fffint,opt-size,8192,2880,4613,10408
2048,ffffloat,opt-size,8192,7552,11161,27775
2048,fffstr,opt-size,8192,28288,39857,120404
2048,gzip,opt-size,56774,13859,131031,349507
2048,zstd,opt-size,56774,15657,52847,150361
2048,pco,opt-size-lvl3,8192,91,15312,20070
2048,lz4,opt-size-lvl3,56774,26120,23937,26608
2048,flsbp,opt-size-lvl3,8192,1804,339,997
2048,fffint,opt-size-lvl3,8192,2880,4652,6320
2048,ffffloat,opt-size-lvl3,8192,7552,11272,15221
2048,fffstr,opt-size-lvl3,8192,28288,39925,76853
2048,gzip,opt-size-lvl3,56774,13859,130833,272992
2048,zstd,opt-size-lvl3,56774,15657,53373,121155
4096,pco,release,16384,42,11652,15113
4096,lz4,release,112372,48542,41644,49042
4096,flsbp,release,16384,3596,497,1365
4096,fffint,release,16384,4672,5074,8308
4096,ffffloat,release,16384,13696,13188,20570
4096,fffstr,release,16384,49152,55310,132446
4096,gzip,release,112372,26670,297209,565507
4096,zstd,release,112372,30610,102904,236421
4096,pco,opt-size,16384,42,11429,25085
4096,lz4,opt-size,112372,48542,41719,57200
4096,flsbp,opt-size,16384,3596,511,2623
4096,fffint,opt-size,16384,4672,5043,11157
4096,ffffloat,opt-size,16384,13696,13299,33919
4096,fffstr,opt-size,16384,49152,54912,171726
4096,gzip,opt-size,112372,26670,297151,695945
4096,zstd,opt-size,112372,30610,99113,286400
4096,pco,opt-size-lvl3,16384,42,11446,13335
4096,lz4,opt-size-lvl3,112372,48542,41518,44028
4096,flsbp,opt-size-lvl3,16384,3596,496,1235
4096,fffint,opt-size-lvl3,16384,4672,5035,6930
4096,ffffloat,opt-size-lvl3,16384,13696,13250,16657
4096,fffstr,opt-size-lvl3,16384,49152,54608,110512
4096,gzip,opt-size-lvl3,112372,26670,293615,548957
4096,zstd,opt-size-lvl3,112372,30610,96149,229721
8192,pco,release,32768,104,39435,60517
8192,lz4,release,223284,96199,83183,98410
8192,flsbp,release,32768,7180,999,2205
8192,fffint,release,32768,8256,5931,9284
8192,ffffloat,release,32768,28544,28964,45898
8192,fffstr,release,32768,95040,88282,197140
8192,gzip,release,223284,52298,620357,1140419
8192,zstd,release,223284,60280,194215,465807
8192,pco,opt-size,32768,104,41869,94560
8192,lz4,opt-size,223284,96199,83268,111880
8192,flsbp,opt-size,32768,7180,988,4499
8192,fffint,opt-size,32768,8256,5919,13257
8192,ffffloat,opt-size,32768,28544,28994,81761
8192,fffstr,opt-size,32768,95040,88750,284018
8192,gzip,opt-size,223284,52298,618031,1381395
8192,zstd,opt-size,223284,60280,190617,526289
8192,pco,opt-size-lvl3,32768,104,41735,58138
8192,lz4,opt-size-lvl3,223284,96199,83281,88223
8192,flsbp,opt-size-lvl3,32768,7180,938,1969
8192,fffint,opt-size-lvl3,32768,8256,5913,7835
8192,ffffloat,opt-size-lvl3,32768,28544,32463,38510
8192,fffstr,opt-size-lvl3,32768,95040,88256,182357
8192,gzip,opt-size-lvl3,223284,52298,615724,1110628
8192,zstd,opt-size-lvl3,223284,60280,193491,456250
16384,pco,release,65536,42,29891,41618
16384,lz4,release,449279,192452,168440,199167
16384,flsbp,release,65536,14348,2756,4025
16384,fffint,release,65536,15424,7521,11332
16384,ffffloat,release,65536,53632,42950,64951
16384,fffstr,release,65536,182848,160703,348177
16384,gzip,release,449279,104021,1256073,2299207
16384,zstd,release,449279,120067,387164,925792
16384,pco,opt-size,65536,42,29777,80143
16384,lz4,opt-size,449279,192452,171636,221715
16384,flsbp,opt-size,65536,14348,2681,8102
16384,fffint,opt-size,65536,15424,7557,17304
16384,ffffloat,opt-size,65536,53632,43096,127569
16384,fffstr,opt-size,65536,182848,160543,500459
16384,gzip,opt-size,449279,104021,1255358,2771968
16384,zstd,opt-size,449279,120067,388029,1047216
16384,pco,opt-size-lvl3,65536,42,29623,39284
16384,lz4,opt-size-lvl3,449279,192452,168129,176298
16384,flsbp,opt-size-lvl3,65536,14348,2723,3841
16384,fffint,opt-size-lvl3,65536,15424,7504,9476
16384,ffffloat,opt-size-lvl3,65536,53632,42885,55518
16384,fffstr,opt-size-lvl3,65536,182848,161499,325247
16384,gzip,opt-size-lvl3,449279,104021,1256133,2239097
16384,zstd,opt-size-lvl3,449279,120067,390378,910599
32768,pco,release,131072,121,137570,217190
32768,lz4,release,896444,383359,336479,395190
32768,flsbp,release,131072,28684,5251,7009
32768,fffint,release,131072,29760,10468,14546
32768,ffffloat,release,131072,108736,65452,95095
32768,fffstr,release,131072,357504,334339,665977
32768,gzip,release,896444,206675,2537614,4585091
32768,zstd,release,896444,238352,816366,1838043
32768,pco,opt-size,131072,121,137487,350244
32768,lz4,opt-size,896444,383359,335909,450684
32768,flsbp,opt-size,131072,28684,5206,15845
32768,fffint,opt-size,131072,29760,10426,24841
32768,ffffloat,opt-size,131072,108736,65329,208474
32768,fffstr,opt-size,131072,357504,331647,967128
32768,gzip,opt-size,896444,206675,2587344,5530045
32768,zstd,opt-size,896444,238352,818118,2220682
32768,pco,opt-size-lvl3,131072,121,137626,217181
32768,lz4,opt-size-lvl3,896444,383359,336240,352904
32768,flsbp,opt-size-lvl3,131072,28684,5260,6871
32768,fffint,opt-size-lvl3,131072,29760,10738,13588
32768,ffffloat,opt-size-lvl3,131072,108736,65265,81693
32768,fffstr,opt-size-lvl3,131072,357504,334058,634474
32768,gzip,opt-size-lvl3,896444,206675,2572937,4468179
32768,zstd,opt-size-lvl3,896444,238352,807619,1798212
65536,pco,release,262144,134,272693,422289
65536,lz4,release,1800539,769079,685740,816276
65536,flsbp,release,262144,57356,10357,12801
65536,fffint,release,262144,58432,16536,21184
65536,ffffloat,release,262144,220736,109563,153511
65536,fffstr,release,262144,722944,678878,1335462
65536,gzip,release,1800539,413950,5133445,9271230
65536,zstd,release,1800539,477455,1760371,3764503
65536,pco,opt-size,262144,134,273496,688691
65536,lz4,opt-size,1800539,769079,687137,912979
65536,flsbp,opt-size,262144,57356,10330,29629
65536,fffint,opt-size,262144,58432,16243,39962
65536,ffffloat,opt-size,262144,220736,110812,365845
65536,fffstr,opt-size,262144,722944,685291,1929734
65536,gzip,opt-size,1800539,413950,5078050,11160507
65536,zstd,opt-size,1800539,477455,1745191,4189590
65536,pco,opt-size-lvl3,262144,134,275879,418110
65536,lz4,opt-size-lvl3,1800539,769079,688472,727211
65536,flsbp,opt-size-lvl3,262144,57356,10331,12622
65536,fffint,opt-size-lvl3,262144,58432,16316,19625
65536,ffffloat,opt-size-lvl3,262144,220736,109603,133961
65536,fffstr,opt-size-lvl3,262144,722944,744373,1270453
65536,gzip,opt-size-lvl3,1800539,413950,5074330,9007648
65536,zstd,opt-size-lvl3,1800539,477455,1748965,3669174
