data_size,scheme,unencoded_size,encoded_size,native_time(ns),wasm_time(ns)
2048,pco,8192,91,14826,21840
2048,lz4,40960,27019,10961,12157
2048,flsbp,8192,1804,342,1095
2048,fff,8192,2880,4746,7841
4096,pco,16384,42,11370,15102
4096,lz4,81920,55562,20018,17001
4096,flsbp,16384,3596,r,1285
4096,fff,16384,4672,5185,8167
8192,pco,32768,104,41619,60805
8192,lz4,163840,110157,46962,34378
8192,flsbp,32768,7180,1107,2131
8192,fff,32768,8256,5918,9444
16384,pco,65536,42,29494,42067
16384,lz4,327680,220016,103421,80681
16384,flsbp,65536,14348,2713,3916
16384,fff,65536,15424,7213,10947
32768,pco,131072,121,137466,220180
32768,lz4,655360,439117,226013,194431
32768,flsbp,131072,28684,5322,6995
32768,fff,131072,29760,9802,14593
65536,pco,262144,134,265036,431908
65536,lz4,1310720,877744,474512,448901
65536,flsbp,262144,57356,10596,13177
65536,fff,262144,58432,15042,21691
